bundle_idx,file_id,start_idx,end_idx,start_time,end_time,bundle_path
0,file_1,0,30,2024-06-02 09:47:17.286,2024-06-02 09:47:20.145,./eeg_bundles\bundles\bundles\bundle_0.npy
1,file_1,30,60,2024-06-02 09:47:20.307,2024-06-02 09:47:23.160,./eeg_bundles\bundles\bundles\bundle_1.npy
2,file_1,60,90,2024-06-02 09:47:23.229,2024-06-02 09:47:26.332,./eeg_bundles\bundles\bundles\bundle_2.npy
3,file_1,90,120,2024-06-02 09:47:26.346,2024-06-02 09:47:29.139,./eeg_bundles\bundles\bundles\bundle_3.npy
4,file_1,120,150,2024-06-02 09:47:29.237,2024-06-02 09:47:32.230,./eeg_bundles\bundles\bundles\bundle_4.npy
5,file_1,150,180,2024-06-02 09:47:32.286,2024-06-02 09:47:35.151,./eeg_bundles\bundles\bundles\bundle_5.npy
6,file_1,180,210,2024-06-02 09:47:35.252,2024-06-02 09:47:38.116,./eeg_bundles\bundles\bundles\bundle_6.npy
7,file_1,210,240,2024-06-02 09:47:38.222,2024-06-02 09:47:41.193,./eeg_bundles\bundles\bundles\bundle_7.npy
8,file_1,240,270,2024-06-02 09:47:41.294,2024-06-02 09:47:44.175,./eeg_bundles\bundles\bundles\bundle_8.npy
9,file_1,270,300,2024-06-02 09:47:44.314,2024-06-02 09:47:47.189,./eeg_bundles\bundles\bundles\bundle_9.npy
10,file_1,300,330,2024-06-02 09:47:47.293,2024-06-02 09:47:50.261,./eeg_bundles\bundles\bundles\bundle_10.npy
11,file_1,330,360,2024-06-02 09:47:50.310,2024-06-02 09:47:53.198,./eeg_bundles\bundles\bundles\bundle_11.npy
12,file_1,360,390,2024-06-02 09:47:53.282,2024-06-02 09:47:56.234,./eeg_bundles\bundles\bundles\bundle_12.npy
13,file_1,390,420,2024-06-02 09:47:56.298,2024-06-02 09:47:59.209,./eeg_bundles\bundles\bundles\bundle_13.npy
14,file_1,420,450,2024-06-02 09:47:59.326,2024-06-02 09:48:02.281,./eeg_bundles\bundles\bundles\bundle_14.npy
15,file_1,450,480,2024-06-02 09:48:02.342,2024-06-02 09:48:05.331,./eeg_bundles\bundles\bundles\bundle_15.npy
16,file_1,480,510,2024-06-02 09:48:05.445,2024-06-02 09:48:08.277,./eeg_bundles\bundles\bundles\bundle_16.npy
17,file_1,510,540,2024-06-02 09:48:08.418,2024-06-02 09:48:11.212,./eeg_bundles\bundles\bundles\bundle_17.npy
18,file_1,540,570,2024-06-02 09:48:11.302,2024-06-02 09:48:14.195,./eeg_bundles\bundles\bundles\bundle_18.npy
19,file_1,570,600,2024-06-02 09:48:14.287,2024-06-02 09:48:17.254,./eeg_bundles\bundles\bundles\bundle_19.npy
20,file_1,600,630,2024-06-02 09:48:17.323,2024-06-02 09:48:20.155,./eeg_bundles\bundles\bundles\bundle_20.npy
21,file_1,630,660,2024-06-02 09:48:20.226,2024-06-02 09:48:23.118,./eeg_bundles\bundles\bundles\bundle_21.npy
22,file_1,660,690,2024-06-02 09:48:23.177,2024-06-02 09:48:26.212,./eeg_bundles\bundles\bundles\bundle_22.npy
23,file_1,690,720,2024-06-02 09:48:26.282,2024-06-02 09:48:29.190,./eeg_bundles\bundles\bundles\bundle_23.npy
24,file_1,720,750,2024-06-02 09:48:29.280,2024-06-02 09:48:32.255,./eeg_bundles\bundles\bundles\bundle_24.npy
25,file_1,750,780,2024-06-02 09:48:32.307,2024-06-02 09:48:35.216,./eeg_bundles\bundles\bundles\bundle_25.npy
26,file_1,780,810,2024-06-02 09:48:35.257,2024-06-02 09:48:38.140,./eeg_bundles\bundles\bundles\bundle_26.npy
27,file_1,810,840,2024-06-02 09:48:38.235,2024-06-02 09:48:41.186,./eeg_bundles\bundles\bundles\bundle_27.npy
28,file_1,840,870,2024-06-02 09:48:41.300,2024-06-02 09:48:44.286,./eeg_bundles\bundles\bundles\bundle_28.npy
29,file_1,870,900,2024-06-02 09:48:44.300,2024-06-02 09:48:47.277,./eeg_bundles\bundles\bundles\bundle_29.npy
30,file_1,900,930,2024-06-02 09:48:47.303,2024-06-02 09:48:50.264,./eeg_bundles\bundles\bundles\bundle_30.npy
31,file_1,930,960,2024-06-02 09:48:50.335,2024-06-02 09:48:53.255,./eeg_bundles\bundles\bundles\bundle_31.npy
32,file_1,960,990,2024-06-02 09:48:53.328,2024-06-02 09:48:56.260,./eeg_bundles\bundles\bundles\bundle_32.npy
33,file_1,990,1020,2024-06-02 09:48:56.363,2024-06-02 09:48:59.233,./eeg_bundles\bundles\bundles\bundle_33.npy
34,file_1,1020,1050,2024-06-02 09:48:59.310,2024-06-02 09:49:02.274,./eeg_bundles\bundles\bundles\bundle_34.npy
35,file_1,1050,1080,2024-06-02 09:49:02.306,2024-06-02 09:49:05.304,./eeg_bundles\bundles\bundles\bundle_35.npy
36,file_1,1080,1110,2024-06-02 09:49:05.439,2024-06-02 09:49:08.196,./eeg_bundles\bundles\bundles\bundle_36.npy
37,file_1,1110,1140,2024-06-02 09:49:08.327,2024-06-02 09:49:11.177,./eeg_bundles\bundles\bundles\bundle_37.npy
38,file_1,1140,1170,2024-06-02 09:49:11.300,2024-06-02 09:49:14.238,./eeg_bundles\bundles\bundles\bundle_38.npy
39,file_1,1170,1200,2024-06-02 09:49:14.297,2024-06-02 09:49:17.264,./eeg_bundles\bundles\bundles\bundle_39.npy
40,file_1,1200,1230,2024-06-02 09:49:17.298,2024-06-02 09:49:20.255,./eeg_bundles\bundles\bundles\bundle_40.npy
41,file_1,1230,1260,2024-06-02 09:49:20.331,2024-06-02 09:49:23.291,./eeg_bundles\bundles\bundles\bundle_41.npy
42,file_1,1260,1290,2024-06-02 09:49:23.462,2024-06-02 09:49:26.249,./eeg_bundles\bundles\bundles\bundle_42.npy
43,file_1,1290,1320,2024-06-02 09:49:26.348,2024-06-02 09:49:29.212,./eeg_bundles\bundles\bundles\bundle_43.npy
44,file_1,1320,1350,2024-06-02 09:49:29.351,2024-06-02 09:49:32.265,./eeg_bundles\bundles\bundles\bundle_44.npy
45,file_1,1350,1380,2024-06-02 09:49:32.317,2024-06-02 09:49:35.317,./eeg_bundles\bundles\bundles\bundle_45.npy
46,file_1,1380,1410,2024-06-02 09:49:35.382,2024-06-02 09:49:38.183,./eeg_bundles\bundles\bundles\bundle_46.npy
47,file_1,1410,1440,2024-06-02 09:49:38.323,2024-06-02 09:49:41.329,./eeg_bundles\bundles\bundles\bundle_47.npy
48,file_1,1440,1470,2024-06-02 09:49:41.468,2024-06-02 09:49:44.199,./eeg_bundles\bundles\bundles\bundle_48.npy
49,file_1,1470,1500,2024-06-02 09:49:44.301,2024-06-02 09:49:47.266,./eeg_bundles\bundles\bundles\bundle_49.npy
50,file_1,1500,1530,2024-06-02 09:49:47.324,2024-06-02 09:49:50.222,./eeg_bundles\bundles\bundles\bundle_50.npy
51,file_1,1530,1560,2024-06-02 09:49:50.301,2024-06-02 09:49:53.156,./eeg_bundles\bundles\bundles\bundle_51.npy
52,file_1,1560,1590,2024-06-02 09:49:53.294,2024-06-02 09:49:56.237,./eeg_bundles\bundles\bundles\bundle_52.npy
53,file_1,1590,1620,2024-06-02 09:49:56.405,2024-06-02 09:49:59.202,./eeg_bundles\bundles\bundles\bundle_53.npy
54,file_1,1620,1650,2024-06-02 09:49:59.299,2024-06-02 09:50:02.270,./eeg_bundles\bundles\bundles\bundle_54.npy
55,file_1,1650,1680,2024-06-02 09:50:02.299,2024-06-02 09:50:05.287,./eeg_bundles\bundles\bundles\bundle_55.npy
56,file_1,1680,1710,2024-06-02 09:50:05.380,2024-06-02 09:50:08.232,./eeg_bundles\bundles\bundles\bundle_56.npy
57,file_1,1710,1740,2024-06-02 09:50:08.331,2024-06-02 09:50:11.278,./eeg_bundles\bundles\bundles\bundle_57.npy
58,file_1,1740,1770,2024-06-02 09:50:11.377,2024-06-02 09:50:14.299,./eeg_bundles\bundles\bundles\bundle_58.npy
59,file_1,1770,1800,2024-06-02 09:50:14.369,2024-06-02 09:50:17.249,./eeg_bundles\bundles\bundles\bundle_59.npy
60,file_1,1800,1830,2024-06-02 09:50:17.306,2024-06-02 09:50:20.175,./eeg_bundles\bundles\bundles\bundle_60.npy
61,file_1,1830,1860,2024-06-02 09:50:20.272,2024-06-02 09:50:23.160,./eeg_bundles\bundles\bundles\bundle_61.npy
62,file_1,1860,1890,2024-06-02 09:50:23.237,2024-06-02 09:50:26.286,./eeg_bundles\bundles\bundles\bundle_62.npy
63,file_1,1890,1920,2024-06-02 09:50:26.425,2024-06-02 09:50:29.254,./eeg_bundles\bundles\bundles\bundle_63.npy
64,file_1,1920,1950,2024-06-02 09:50:29.353,2024-06-02 09:50:32.271,./eeg_bundles\bundles\bundles\bundle_64.npy
65,file_1,1950,1980,2024-06-02 09:50:32.294,2024-06-02 09:50:35.260,./eeg_bundles\bundles\bundles\bundle_65.npy
66,file_1,1980,2010,2024-06-02 09:50:35.359,2024-06-02 09:50:38.226,./eeg_bundles\bundles\bundles\bundle_66.npy
67,file_1,2010,2040,2024-06-02 09:50:38.303,2024-06-02 09:50:41.273,./eeg_bundles\bundles\bundles\bundle_67.npy
68,file_1,2040,2070,2024-06-02 09:50:41.305,2024-06-02 09:50:44.208,./eeg_bundles\bundles\bundles\bundle_68.npy
69,file_1,2070,2100,2024-06-02 09:50:44.402,2024-06-02 09:50:47.269,./eeg_bundles\bundles\bundles\bundle_69.npy
70,file_1,2100,2130,2024-06-02 09:50:47.296,2024-06-02 09:50:50.290,./eeg_bundles\bundles\bundles\bundle_70.npy
